Part Nr;Mat Description;New Sales Price;NOTAS;NUEVOS CP357;;NUEVOS CP361;;NUEVOS CP365;;ANULADOS CP365;;NUEVOS CP369;;ANULADOS CP369;;NUEVOS CP373;;ANULADOS CP373
S0PF56225730;WELDED MS MRL 1002 106/160 FMB130C 4 T75;103,23;;;;;;;;;;;;;;;;
S0PF56225702;GG41 BG512 TG106 B2 HGR2240 CWT WELD AS;97,53;;;;;;;;;;;;;;;;
S0PF56225710;GG41 BG732 TG106 B2 HGR2240 CWT WELD AS;103,18;;;;;;;;;;;;;;;;
S0PF56225717;GG41 BG1002 TG106 B2 HGR2240 CWT WELD AS;109,43;;;;;;;;;;;;;;;;
S0PF56225714;GG41 BG850 TG106 B2 HGR2240 CWT WELD AS;108,02;;;;;;;;;;;;;;;;
S0PFA6225949;O-B H 1002 106 1_T89_H75/T75;45,55;;;;;;;;;;;;;;;;
S0PF56225716;GG41 BG1002 TG106 B2 HGR2080 CWT WELD AS;109,87;;;;;;;;;;;;;;;;
S0PF56225713;GG41 BG850 TG106 B2 HGR2080 CWT WELD AS;108,09;;;;;;;;;;;;;;;;
S0PF56226175;CAR WOODEN BUFFER PLINTH HSS1 107;18,19;;;;;;;;;;;;;;;;
S0PF56226176;CAR WOODEN BUFFER PLINTH HSS1 137;18,83;;;;;;;;;;;;;;;;
S0PF56226177;CAR WOODEN BUF PLINTH HSS1 197 T75;24,18;;;;;;;;;;;;;;;;
S0PF56226178;CAR WOODEN BUF PLINTH HSS1 287 T75;24,66;;;;;;;;;;;;;;;;
S0PF56226179;CAR WOODEN BUF PLINTH HSS1 377 T75;25,68;;;;;;;;;;;;;;;;
S0PF56226180;CAR WOODEN BUF PLINTH HSS1 467 T75;26,38;;;;;;;;;;;;;;;;
S0PF56226181;CAR WOODEN BUF PLINTH HSS1 572 T75;27,52;;;;;;;;;;;;;;;;
S0PF56226182;CAR WOODEN BUF PLINTH HSS1 197 T89;24,18;;;;;;;;;;;;;;;;
S0PF56226183;Car Wooden Buf Plinth HSS1 287 T89;25,47;;;;;;;;;;;;;;;;
S0PF56226184;CAR WOODEN BUF PLINTH HSS1 377 T89;26,51;;;;;;;;;;;;;;;;
S0PF56226185;CAR WOODEN BUF PLINTH HSS1 467 T89;27,27;;;;;;;;;;;;;;;;
S0PF56226186;CAR WOODEN BUF PLINTH HSS1 572 T89;29,71;;;;;;;;;;;;;;;;
S0PFA6225947;O-B L 1002 106 1_T75_H75/T75;33,33;;;;;;;;;;;;;;;;
S0PF56225712;GG41 BG850 TG106 B2 HGR1820 CWT WELD AS;104,02;;;;;;;;;;;;;;;;
S0PF57807746;Screen fixation 7x11/10011 cpl.;2,09;;;;;;;;;;;;;;;;
S0PF56226394;O-B L 1002 106 1 CAR T75 CWT H75/T75 SO;35,48;;;;;;;;;;;;;;;;
S0PF56226332;Extension 200 L280 kit;43,40;;;;;;;;;;;;;;;;
S0PF59392949;TSD21 BUFFER STOP 4STM CPL. T89 LEFT;41,90;;;;;;;;;;;;;;;;
S0PF56226395;O-B L 1002 106 1 CAR T89 CWT H75/T75 SO;35,72;;;;;;;;;;;;;;;;
S0PF57642303;Z-CH8;23,03;;;;;;;;;;;;;;;;
S0PF56226306;MS MRL1002 106FMB130C 2PV40/50T89H75/T75;100,60;;;;;;;;;;;;;;;;
S0PF56303684;Pair fishplates guide T75-3/B w screws;7,73;;;;;;;;;;;;;;;;
S0PF56226305;MS MRL1002 106FMB103C 2PV40/50T75H75/T75;94,10;;;;;;;;;;;;;;;;
S0PF57812806;HARDWARE KIT FOR H75 GUIDE;2,25;;;;;;;;;;;;;;;;
S0PFA6225973;O-B L 1002 106 2 CAR T75 CWT H75/T75;36,94;;;;;;;;;;;;;;;;
S0PF57807285;Z BRACKET KIT SF=26 TO 52 (SF<40) TOP;9,74;;;;;;;;;;;;;;;;
S0PF56226018;Tie Bracket B BG1002 106 T89 cwt H75T75;26,57;;;;;;;;;;;;;;;;
S0PF56226011;Tie Bracket B BG1002 106 T75 cwt H75T75;26,60;;;;;;;;;;;;;;;;
S0PFA6225950;O-B H 1002 106 1_T75_H75/T75;45,98;;;;;;;;;;;;;;;;
S0PF51971944;Connection Plate without FF3 cpl;11,77;;;;;;;;;;;;;;;;
S0PF51971950;Connection Plate with FF3 B-type cpl;27,13;;;;;;;;;;;;;;;;
S0PF57850829;Fixpoint T89 ZZR4;63,89;;;;;;;;;;;;;;;;
S0PF56226304;MS MRL 1002 106 FMB130C 2 PV40/50 T75H50;99,16;;;;;;;;;;;;;;;;
S0PF50810362;O-B H 1002 106 1 CAR T75 CWT H75/T75 D17;50,31;;;;;;;;;;;;;;;;
S0PF50810363;O-B H 1002 106 1 CAR T89 CWT H75/T75 D17;50,28;;;;;;;;;;;;;;;;
S0PFA6225976;O-B L 1002 106 3 CAR T75 CWT H75/T75;37,15;;;;;;;;;;;;;;;;
S0PF56226400;O-B L 1002 106 3 CAR T75 CWT H75/T75 SO;38,51;;;;;;;;;;;;;;;;
S0PF56226104;L-B Type H TG106 2 H50 M12;25,71;;;;;;;;;;;;;;;;
S0PF59392952;TDS21 BUFFER STOP 4STM CPL. T89 RIGHT;42,75;;;;;;;;;;;;;;;;
S0PF57851176;TZ-CH4 Bracket cpl.;67,35;;;;;;;;;;;;;;;;
S0PFA6225979;O-B L 1002 106 4 CAR T75 CWT H75/T75;48,99;;;;;;;;;;;;;;;;
S0PF56225653;MS MRL 1002 106/160 FMB130C 4 T89 H75/T7;104,30;;;;;;;;;;;;;;;;
S0PF56226112;L-B Type L TG106 2 H50;14,28;;;;;;;;;;;;;;;;
S0PF57619843;Z-CH5;12,14;;;;;;;;;;;;;;;;
S0PF57807017;Soporte GBP T75/T89 ZZ2;26,98;;;;;;;;;;;;;;;;
S0PF56226110;L-B Type L TG106 3 H50;13,91;;;;;;;;;;;;;;;;
S0PF50809403;STM PACKAGING PALLET 1200x800 mm OLEO;45,81;;;;;;;;;;;;;;;;
S0PF56226279;Z-CH3 T89;10,33;;;;;;;;;;;;;;;;
S0PF57851169;TZ-CL1 Bracket cpl.;51,07;;;;;;;;;;;;;;;;
S0PF57851171;TZ-CL3 Bracket cpl.;57,92;;;;;;;;;;;;;;;;
S0PF56226331;Extension 100 L280 kit;35,83;;;;;;;;;;;;;;;;
S0PFA6225984;O-B H 1002 106 3 CAR T89 CWT H75/T75;53,47;;;;;;;;;;;;;;;;
S0PF57812808;HARDWARE KIT FOR T75 GUIDE;3,44;;;;;;;;;;;;;;;;
S0PF59392943;TSD21 BUFFER STOP 4STM CPL. T75 LEFT;41,12;;;;;;;;;;;;;;;;
S0PF56225724;SG CWT GG41 BG1002 TG106 B4 S HGR2172;960,16;;;;;;;;;;;;;;;;
S0PF57862931;TSD21 BUFFER STOP 2STM CPL. T75 HSK LEFT;39,91;;;;;;;;;;;;;;;;
S0PF57629375;Cwt side panel 20x200x1980 mm;6,94;;;;;;;;;;;;;;;;
S0PF56226061;L-B Type H TG106 1 H50 M12;24,06;;;;;;;;;;;;;;;;
S0PF56226102;L-B Type L TG106 1 H50;13,02;;;;;;;;;;;;;;;;
S0PF50809710;Z-AL0E/CL0E T89;10,37;;;;;;;;;;;;;;;;
S0PFA6225977;O-B L 1002 106 3 CAR T75 CWT H75/T75;51,50;;;;;;;;;;;;;;;;
S0PF57642552;Z-CH9;26,06;;;;;;;;;;;;;;;;
S0PF57622622;Anti-Twist Plate Attachment 2 STM bag;1,81;;;;;;;;;;;;;;;;
S0PF56015156;Evacuation Device cpl.;134,48;;;;;;;;;;;;;;;;
S0PF56226278;Z-CH3 T75;10,13;;;;;;;;;;;;;;;;
S0PF56226106;L-B Type H TG106 3 H50 M12;26,20;;;;;;;;;;;;;;;;
S0PF56226062;L-B Type H TG106 1 H75/T75 M12;24,62;;;;;;;;;;;;;;;;
S0PF56225722;SG CWT GG41 BG708 TG106 B2 S HGR2172;890,33;;;;;;;;;;;;;;;;
S0PF51975239;ESPACIADOR BDF=114 PARA GUÍA T89;13,67;;;;;;;;;;;;;;;;
S0PF56225703;GG41 BG 512 TG106 B2 HGR2440 frame welde;97,07;;;;;;;;;;;;;;;;
S0PF56226241;MS MRL 512 106/160 FMB130A/B 2 T75 H50;70,81;;;;;;;;;;;;;;;;
S0PF56226103;L-B Type L TG106 1 H75/T75;13,45;;;;;;;;;;;;;;;;
